Wavelength,Acoita,Aroeira_vermelha,Aroeira_braba,Inga,Pata_de_vaca
2340,0.225068648,0.093870611,0.110086545,0.31666168,0.230328302
2341,0.172271037,0.096863608,0.08227823,0.269250542,0.241677849
2342,0.192698921,0.132349799,0.081292383,0.206936732,0.277376442
2343,0.25883193,0.155514862,0.093142285,0.229694578,0.318267983
2344,0.237201628,0.169847951,0.099983949,0.33389352,0.278645606
2345,0.194210537,0.142423677,0.069145731,0.330151042,0.220447605
2346,0.247074069,0.17722526,0.115587038,0.204632792,0.242430813
2347,0.26572068,0.139132861,0.142051346,0.153541277,0.27373174
2348,0.187472719,0.172324783,0.090700033,0.183140269,0.20181582
2349,0.157962619,0.171656465,0.067481452,0.24272069,0.146069554
2350,0.245175612,0.197063435,0.091465745,0.244643983,0.166917416
2351,0.256238645,0.185706329,0.107748679,0.197389165,0.242313215
2352,0.168843094,0.182557515,0.095995629,0.187922221,0.273740298
2353,0.164693643,0.169871741,0.086429424,0.194143188,0.299552125
2354,0.219572946,0.156106826,0.09211369,0.179884885,0.344870278
2355,0.222655969,0.173148239,0.104584412,0.159625895,0.343454301
2356,0.197906509,0.227254959,0.035286976,0.199854448,0.300373161
2357,0.171333495,0.204043331,0.062311034,0.232578894,0.28503131
2358,0.195288029,0.203330957,0.090104976,0.285275846,0.304371656
2359,0.263726296,0.176040806,0.131904775,0.259948339,0.285895576
2360,0.269435814,0.205162571,0.106563857,0.240376518,0.232170085
2361,0.214072029,0.284832182,0.090772322,0.22577754,0.200514375
2362,0.206786202,0.295665046,0.090516486,0.282923748,0.224203338
2363,0.192687206,0.154406064,0.110488561,0.252678296,0.318088019
2364,0.169550111,0.079235217,0.16856098,0.226994528,0.36022705
